Company Name,Certificate Type,Certificate No,Test Mark Number,Certificate Scope,Address,image,Additional Info
Aalberts Surface Technologies Heat Sp. z o.o.,IATF 16949,01 111 1500547,9108628506,Heat treatment and thermo-chemical treatment,"ul. Strefowa, 58-200 Dzierżoniów, Poland",https://www.certipedia.com/logos/000/188/044/9108628506_en.png?1611215239,The certificate holder has not provided further information.
"AALBERTS SURFACE TECHNOLOGIES TEY, S.L.U.",EN 9100,01 117 071767,0910098003,"Thermal treatments of special steels, superalloys and aluminum
Ion nitriding of steels","Pol. Ind. Artia, s/n -, 48291 Atxondo  (Bizkaia), Spain",https://www.certipedia.com/logos/000/006/971/0910098003_en.png?1554717248,The certificate holder has not provided further information.
"AALBERTS SURFACE TECHNOLOGIES TEY, S.L.U.",ISO 9001,01 100 071767,0910098003,"Thermal treatments of special steels, superalloys and aluminum
Ion nitriding of steels","Pol. Ind. Artia, s/n -, 48291 Atxondo  (Bizkaia), Spain",https://www.certipedia.com/logos/000/006/971/0910098003_en.png?1554717248,The certificate holder has not provided further information.
"AALBERTS SURFACE TECHNOLOGIES, S.A.U.",ISO 9001,01 100 1716909,9108642030,"Heat and thermochemical treatments in air, controlled atmosphere, induction and vacuum of steel parts, titanium, castings, alloys and aluminum. Thermal treatments of stainless steels, titanium, PH and MARAGING steels and refractory.","C/ALCOTANES 32, 28320 PINTO (MADRID), Spain",https://www.certipedia.com/logos/000/285/306/9108642030_en.png?1549280756,The certificate holder has not provided further information.
"AALBERTS SURFACE TECHNOLOGIES, S.A.U.",EN 9100,01 117 1716909,9108642030,"Heat and thermochemical treatments in air, controlled atmosphere, induction and vacuum of steel parts, titanium, castings, alloys and aluminum. Thermal treatments of stainless steels, titanium, PH and MARAGING steels and refractories.","C/ALCOTANES 32, 28320 PINTO (MADRID), Spain",https://www.certipedia.com/logos/000/285/306/9108642030_en.png?1549280756,The certificate holder has not provided further information.
Aamor Inox Limited,EN 9100,01 117 2137505,9108641140,Processing Hot Rolled Stainless Steel Bars to Cold Drawn Bars,"A-30, Site IV, UPSIDC Industrial Area, Sahibabad,, 201010 Ghaziabad, India",https://www.certipedia.com/logos/000/281/770/9108641140_en.png?1513661087,The certificate holder has not provided further information.
Aamor Inox Limited,ISO 9001,01 100 2137505,9108641140,Processing Hot Rolled Stainless Steel Bars to Cold Drawn Bars,"A-30, Site IV, UPSIDC Industrial Area, Sahibabad,, 201010 Ghaziabad, India",https://www.certipedia.com/logos/000/281/770/9108641140_en.png?1513661087,The certificate holder has not provided further information.
Aamor Inox Limited,MM+AD2000W0,01 202 IND/Q-17 0028,9108641140,Processing of Hot Rolled Steel Bars into Heat Treated and Cold Finished Steel Bars.,"A-30, Site IV, UPSIDC Industrial Area, Sahibabad,, 201010 Ghaziabad, India",https://www.certipedia.com/logos/000/281/770/9108641140_en.png?1513661087,The certificate holder has not provided further information.
Aamor Inox Limited,EN 10088-5,0035-CPR-A279,9108641140,Products of Stainless Steels for metal structures or in composite metal and concrete structures,"A-30, Site IV, UPSIDC Industrial Area, Sahibabad,, 201010 Ghaziabad, India",https://www.certipedia.com/logos/000/281/770/9108641140_en.png?1513661087,The certificate holder has not provided further information.
AAN Apparate- und Anlagentechnik Nürnberg GmbH,ISO 9001,01 100 1500710,9108614736,"Planning, calculation, construction and production of heating technical and vacuum technical apparatuses and plants","Hamburger Str., 91126 Schwabach, Germany",-,The certificate holder has not provided further information.
Aannemersbedrijf A.G.J.C. van Breda B.V,VCA**,SH_1380640,9108644078,"Het uitvoeren van verbouw-, nieuwbouw- en renovatiewerkzaamheden.","Industriekade, 2172 HW SASSENHEIM, Netherlands",https://www.certipedia.com/logos/000/294/202/9108644078_en.png?1521642073,The certificate holder has not provided further information.
Aannemersbedrijf A.J.H. Zwart B.V.,VCA *,SH_1543022,9000000293,Het uitvoeren van funderings- en renovatiewerken.,"Prinseneiland, 1013 LR AMSTERDAM, Netherlands",https://www.certipedia.com/logos/000/348/028/9000000293_en.png?1556609782,The certificate holder has not provided further information.
Aannemersbedrijf F. Willemse B.V.,VCA *,SH_1380703,9000003170,"Het uitvoeren van verbouw-, onderhoud- en renovatiewerkzaamheden in de woningbouw.","Couwenhovenstraat, 3113 AA SCHIEDAM, Netherlands",https://www.certipedia.com/logos/000/370/800/9000003170_en.png?1581512447,The certificate holder has not provided further information.
Aannemersbedrijf H. Mulder B.V.,VCA *,SH_1543268,9108628097,"Pile driving and foundation work, transport and storage of technical areas and components for energy and telecom distribution.","Weverwijk, 4245 KX LEERBROEK, Netherlands",https://www.certipedia.com/logos/000/185/108/9108628097_en.png?1531997327,The certificate holder has not provided further information.
Aannemersbedrijf H. Mulder B.V.,ISO 9001,01 100 2018685,9108628097,"Pile driving and foundation work, transport and storage of technical areas and components for energy and telecom distribution.","Weverwijk, 4245 KX LEERBROEK, Netherlands",https://www.certipedia.com/logos/000/185/108/9108628097_en.png?1531997327,The certificate holder has not provided further information.
Aannemersbedrijf H. van Rijswijck B.V.,PSO,PSO 2315011,9000011537,-,"Lucas Gasselstraat, 5613 LB EINDHOVEN, Netherlands",-,The certificate holder has not provided further information.
